empleos,empleos_por_cada_1_000_pernoctaciones,empleos_por_cada_10_000_euros_de_ingresos,empleos_por_cada_100_plazas_alojativas,empleos_por_cada_100_viajeros_entrados,establecimientos,habitaciones,ingresos_por_habitacion,ingresos_totales,plazas,tarifa_media_diaria,tasa_de_ocupacion_por_habitacion,tasa_de_ocupacion_por_plaza
59764.0,7.94,2.33,15.4,5.6,1572.0,160124.0,53.34,256249810.9,388161.0,73.1,72.98,64.67
60600.0,6.86,1.94,15.51,5.11,1582.0,160951.0,62.76,313146108.9,390720.0,83.53,75.14,72.9
61970.0,6.45,1.73,15.73,4.98,1583.0,162258.0,71.02,357255475.4,393879.0,89.76,79.13,78.65
61951.0,7.73,1.97,15.73,5.86,1591.0,162370.0,64.44,313887824.0,393838.0,80.28,80.26,67.86
61802.0,7.47,1.85,15.59,5.36,1607.0,163521.0,66.01,334624292.7,396422.0,86.63,76.2,67.29
60993.0,7.56,1.7,15.33,5.73,1615.0,164011.0,72.99,359110928.3,397901.0,88.34,82.62,67.61
62224.0,7.65,1.67,15.59,5.87,1624.0,164558.0,73.22,373499551.3,399216.0,93.04,78.69,65.72
62418.0,7.58,1.69,16.0,6.32,1550.0,162158.0,73.33,368637693.3,390174.0,90.39,81.13,68.09
62218.0,7.85,1.76,15.92,5.79,1551.0,162384.0,75.27,354447222.7,390850.0,92.43,81.43,69.89
58738.0,14.68,3.25,15.08,13.46,1549.0,161886.0,35.97,180507863.2,389399.0,87.3,41.2,33.14
249.0,43.34,11.1,5.06,25.88,20.0,1629.0,4.68,224327.2,4919.0,57.67,7.96,3.89
554.0,46.42,14.77,5.88,18.64,42.0,3455.0,3.86,375189.09,9427.0,39.69,11.41,4.08
1802.0,37.13,8.52,9.39,10.05,100.0,7892.0,9.28,2114585.03,19197.0,60.47,15.37,8.43
21154.0,14.62,3.87,12.97,7.46,500.0,67014.0,26.34,54718777.68,163096.0,82.1,32.09,28.62
28540.0,10.96,2.8,14.34,6.27,607.0,82387.0,39.9,102078847.8,199048.0,86.64,46.12,42.21
27122.0,20.39,5.31,13.66,10.67,619.0,82667.0,20.5,51037044.78,198536.0,76.58,26.87,22.33
24044.0,22.44,5.98,14.03,10.11,580.0,71193.0,18.09,40180991.12,171331.0,77.27,23.55,20.17
22455.0,20.06,4.58,13.65,12.47,576.0,67993.0,23.83,49024737.82,164527.0,82.34,29.19,22.68
25201.0,17.3,3.75,13.95,11.23,601.0,75363.0,28.77,67216996.56,180598.0,94.54,30.43,26.02
22853.0,26.84,6.47,13.13,18.47,609.0,72334.0,15.75,35313255.41,174076.0,80.34,19.6,15.78
15700.0,24.13,5.64,12.07,12.67,540.0,53338.0,18.64,27845128.02,130065.0,80.75,23.09,17.86
16537.0,19.91,4.09,12.18,9.69,560.0,56308.0,23.14,40393259.51,135748.0,87.92,26.32,19.74
18602.0,19.5,4.23,13.27,9.47,571.0,57758.0,25.35,43925282.73,140149.0,89.23,28.41,22.69
